,art,entertainment,fashion,food,gaming,health and lifestyle,mom and children,sports,tech,travel
afiş,0.01266498932670112,0.23252072082213263,-0.06241972553669283,-0.04859656668188497,-0.01584733751050163,-0.014113097121674535,-0.004786922953946578,-0.04928334143821511,0.006499253555701155,-0.05663797246161913
afrika,0.08270027263617577,-0.14444222141120533,-0.09657513994967318,0.05225412876376356,-0.03247298874600814,-0.08020401701009215,0.3067208892305009,-0.008970553139478647,-0.118519256735511,0.039508886361528744
after,0.3477455218346547,-0.18427793813066498,-0.19124737215552587,-0.09930494644672125,-0.0441184583012715,0.18496228217890728,-0.15079633935906808,0.36990480302115614,-0.15381801865535427,-0.07904953398611296
after the,0.06749643289653429,-0.05614551782415669,-0.08745633220814522,-0.05041579544613421,-0.009692480616453192,0.11588070483404675,-0.03254574528420652,0.10883848859400493,-0.04913059021787729,-0.0068291647276126875
afyon,-0.05688754861347123,-0.09356697175397,0.0015609419926313156,0.1063236412760265,-0.016954020980844222,0.0023941971103292707,-0.0548076173300052,-0.040617839107766174,0.1892454920002256,-0.03669027459315655
afyonkarahisar,0.0061803785580120596,0.014190084339169125,-0.02942892301898779,0.04158539272484649,-0.008196748004869686,-0.02810151483879708,-0.03214978224056051,-0.031593460489009434,0.016217308465397852,0.05129726450479883
aga,-0.11838044833323554,0.09828272266981801,-0.12151633886585622,0.4498492943714383,-0.01773507087824045,-0.07923782103186927,-0.04108162501106722,-0.03611674682179507,-0.07806627334084812,-0.05599769275834394
again,0.07710936439075576,-0.12247184436481622,-0.20077432958671737,-0.03243756787573145,-0.02711769016264037,-0.052224738680078236,-0.02784120858777486,0.2623427650932107,-0.006118605678624959,0.1295338554524171
against,-0.024434310836465672,0.04608056474952324,0.022134021239766044,-0.013446816848735292,-0.010324669455351506,-0.022987815902183097,0.19701671795235956,-0.09911894405482889,-0.045195585788154066,-0.04972316105593035
age,-0.015357292624918709,-0.04264697548945093,-0.06328286737044396,0.003052038533133339,-0.006206560084257254,0.208823107521592,0.017889991303897082,-0.013174132895457425,-0.008318403177454636,-0.08077890571663993
agency,-0.12589325374800597,0.44873270950167804,-0.1123201893229755,0.05127217708764767,-0.03102580948934379,-0.1562108696980872,-0.0764388593705426,-0.052947888229983975,0.17069002703075042,-0.11585804376113794
